StateCode,LgaCode,LGA
001,001001,Aba North
001,001002,Aba South
001,001003,Arochukwu
001,001004,Bende
001,001005,Ikwuano
001,001006,Isiala Ngwa North
001,001007,Isiala Ngwa South
001,001008,Isuikwuato
001,001009,Obi Ngwa
001,001010,Ohafia
001,001011,Osisioma
001,001012,Ugwunagbo
001,001013,Ukwa East
001,001014,Ukwa West
001,001015,Umuahia North
001,001016,Umuahia South
001,001017,Umu Nneochi
002,002001,Demsa
002,002002,Fufure
002,002003,Ganye
002,002004,Gayuk
002,002005,Gombi
002,002006,Grie
002,002007,Hong
002,002008,Jada
002,002009,Lamurde
002,002010,Madagali
002,002011,Maiha
002,002012,Mayo-Belwa
002,002013,Michika
002,002014,Mubi North
002,002015,Mubi South
002,002016,Numan
002,002017,Shelleng
002,002018,Song
002,002019,Toungo
002,002020,Yola North
002,002021,Yola South
003,003001,Abak
003,003002,Eastern Obolo
003,003003,Eket
003,003004,Esit Eket
003,003005,Essien Udim
003,003006,Etim Ekpo
003,003007,Etinan
003,003008,Ibeno
003,003009,Ibesikpo Asutan
003,003010,Ibiono-Ibom
003,003011,Ika
003,003012,Ikono
003,003013,Ikot Abasi
003,003014,Ikot Ekpene
003,003015,Ini
003,003016,Itu
003,003017,Mbo
003,003018,Mkpat-Enin
003,003019,Nsit-Atai
003,003020,Nsit-Ibom
003,003021,Nsit-Ubium
003,003022,Obot Akara
003,003023,Okobo
003,003024,Onna
003,003025,Oron
003,003026,Oruk Anam
003,003027,Udung-Uko
003,003028,Ukanafun
003,003029,Uruan
003,003030,Urue-Offong/Oruko
003,003031,Uyo
004,004001,Aguata
004,004002,Anambra East
004,004003,Anambra West
004,004004,Anaocha
004,004005,Awka North
004,004006,Awka South
004,004007,Ayamelum
004,004008,Dunukofia
004,004009,Ekwusigo
004,004010,Idemili North
004,004011,Idemili South
004,004012,Ihiala
004,004013,Njikoka
004,004014,Nnewi North
004,004015,Nnewi South
004,004016,Ogbaru
004,004017,Onitsha North
004,004018,Onitsha South
004,004019,Orumba North
004,004020,Orumba South
004,004021,Oyi
