name,code,state_code
Aba North,1001,001
Aba South,1002,001
Arochukwu,1003,001
Bende,1004,001
Ikwuano,1005,001
Isiala Ngwa North,1006,001
Isiala Ngwa South,1007,001
Isuikwuato,1008,001
Obi Ngwa,1009,001
Ohafia,1010,001
Osisioma,1011,001
Ugwunagbo,1012,001
Ukwa East,1013,001
Ukwa West,1014,001
Umu Nneochi,1015,001
Umuahia North,1016,001
Umuahia South,1017,001
Demsa,2001,002
Fufure,2002,002
Ganye,2003,002
Gayuk,2004,002
Gombi,2005,002
Grie,2006,002
Hong,2007,002
Jada,2008,002
Lamurde,2009,002
Madagali,2010,002
Maiha,2011,002
Mayo Belwa,2012,002
Michika,2013,002
Mubi North,2014,002
Mubi South,2015,002
Numan,2016,002
Shelleng,2017,002
Song,2018,002
Toungo,2019,002
Yola North,2020,002
Yola South,2021,002
Abak,3001,003
Eastern Obolo,3002,003
Eket,3003,003
Esit Eket,3004,003
Essien Udim,3005,003
Etim Ekpo,3006,003
Etinan,3007,003
Ibeno,3008,003
Ibesikpo Asutan,3009,003
Ibiono-Ibom,3010,003
Ika,3011,003
Ikono,3012,003
Ikot Abasi,3013,003
Ikot Ekpene,3014,003
Ini,3015,003
Itu,3016,003
Mbo,3017,003
Mkpat-Enin,3018,003
Nsit-Atai,3019,003
Nsit-Ibom,3020,003
Nsit-Ubium,3021,003
Obot Akara,3022,003
Okobo,3023,003
Onna,3024,003
Oron,3025,003
Oruk Anam,3026,003
Udung-Uko,3027,003
Ukanafun,3028,003
Uruan,3029,003
Urue-Offong/Oruko,3030,003
Uyo,3031,003
Aguata,4001,004
Anambra East,4002,004
Anambra West,4003,004
Anaocha,4004,004
Awka North,4005,004
Awka South,4006,004
Ayamelum,4007,004
Dunukofia,4008,004
Ekwusigo,4009,004
Idemili North,4010,004
Idemili South,4011,004
Ihiala,4012,004
Njikoka,4013,004
Nnewi North,4014,004
Nnewi South,4015,004
Ogbaru,4016,004
Onitsha North,4017,004
Onitsha South,4018,004
Orumba North,4019,004
Orumba South,4020,004
Oyi,4021,004
Alkaleri,5001,005
Bauchi,5002,005
Bogoro,5003,005
Damban,5004,005
Darazo,5005,005
Dass,5006,005
Gamawa,5007,005
Ganjuwa,5008,005
Giade,5009,005
Itas/Gadau,5010,005
Jama'are,5011,005
Katagum,5012,005
Kirfi,5013,005
Misau,5014,005
Ningi,5015,005
Shira,5016,005
Tafawa Balewa,5017,005
Toro,5018,005
Warji,5019,005
Zaki,5020,005
Ado,6001,006
Agatu,6002,006
Apa,6003,006
Buruku,6004,006
Gboko,6005,006
Guma,6006,006
Gwer East,6007,006
Gwer West,6008,006
Katsina-Ala,6009,006
Konshisha,6010,006
Kwande,6011,006
Logo,6012,006
Makurdi,6013,006
Obi,6014,006
Ogbadibo,6015,006
Ohimini,6016,006
Oju,6017,006
Okpokwu,6018,006
Oturkpo,6019,006
Tarka,6020,006
Ukum,6021,006
Ushongo,6022,006
Vandeikya,6023,006
Abadam,7001,007
Askira/Uba,7002,007
Bama,7003,007
Bayo,7004,007
Biu,7005,007
Chibok,7006,007
Damboa,7007,007
Dikwa,7008,007
Gubio,7009,007
Guzamala,7010,007
Gwoza,7011,007
Hawul,7012,007
Jere,7013,007
Kaga,7014,007
Kala/Balge,7015,007
Konduga,7016,007
Kukawa,7017,007
Kwaya Kusar,7018,007
Mafa,7019,007
Magumeri,7020,007
Maiduguri,7021,007
Marte,7022,007
Mobbar,7023,007
Monguno,7024,007
Ngala,7025,007
Nganzai,7026,007
Shani,7027,007
Abi,8001,008
Akamkpa,8002,008
Akpabuyo,8003,008
Bakassi,8004,008
Bekwarra,8005,008
Biase,8006,008
Boki,8007,008
Calabar Municipal,8008,008
Calabar South,8009,008
Etung,8010,008
Ikom,8011,008
Obanliku,8012,008
Obubra,8013,008
Obudu,8014,008
Odukpani,8015,008
Ogoja,8016,008
Yakuur,8017,008
Yala,8018,008
Aniocha North,9001,009
Aniocha South,9002,009
Bomadi,9003,009
Burutu,9004,009
Ethiope East,9005,009
Ethiope West,9006,009
Ika North East,9007,009
Ika South,9008,009
Isoko North,9009,009
Isoko South,9010,009
Ndokwa East,9011,009
Ndokwa West,9012,009
Okpe,9013,009
Oshimili North,9014,009
Oshimili South,9015,009
Patani,9016,009
Sapele,9017,009
Udu,9018,009
Ughelli North,9019,009
Ughelli South,9020,009
Ukwuani,9021,009
Uvwie,9022,009
Warri North,9023,009
Warri South,9024,009
